agency,state,value_days,instrument,publisher,family,citation,doc_date,verify_status,source,quote_short
Monterey Park PD,CA,365 (min),Lexipol manual Policy 439.4,Lexipol,MIN_ONE_YEAR,none (no Government Code anywhere in document),2026-08-03 stamp,CONFIRMED (closure second read),closure:lexipol-second-reads,"stored for a minimum of one year and in accordance with the established records retention schedule"
Costa Mesa PD,CA,365 (min),Lexipol manual Policy 429.5,Lexipol,MIN_ONE_YEAR,GC 34090.6,Wayback 2026-08-01 capture of city URL,CONFIRMED (archive of city's own URL),closure:lexipol-second-reads,"minimum of one year (Government Code SS 34090.6)"
San Marino PD,CA,365 (min),Standalone ALPR Policy 430,Lexipol,MIN_ONE_YEAR,GC 34090.6,2018-05-04 stamp,CONFIRMED,closure:lexipol-second-reads,"minimum of one year (Government Code SS 34090.6)"
San Marino PD,CA,365 (min),Manual Policy 429,Lexipol,MIN_ONE_YEAR,GC 34090.6 (no section symbol; document text not artifact),2026-04-13 stamp,CONFIRMED,closure:lexipol-second-reads,"minimum of one year (Government Code 34090.6); portal config 365 AGREES with template"
Atherton PD,CA,365 (min),PD Policy 469,Lexipol,MIN_ONE_YEAR,GC 34090.6,2020-06-09 stamp,CONFIRMED,closure:deviant-units-atherton-coronado,"shall be stored for a minimum of one year (Government Code SS 34090.6); local customization elsewhere (annual outside audit 469.6(c)); vendor named only in 2021 council staff report"
Coronado PD,CA,365 (min),Policy 427.8,Lexipol,MIN_ONE_YEAR,GC 34090.6,2023-08-21 stamp,CONFIRMED,closure:deviant-units-atherton-coronado,"should be stored for a minimum of one year (Government Code SS 34090.6); no vendor named anywhere in policy"
Placentia PD,CA,365 (min),Policy 461.4,Lexipol,MIN_ONE_YEAR,GC 34090.6,active edition,TIER (lead; second-read satisfied by closure pattern),TIER_4:4,"minimum of one year (Government Code SS 34090.6)"
Napa County SO,CA,365 (min),Policy 425.4,Lexipol,MIN_ONE_YEAR,none in quote,2024-04-25 stamp,TIER (lead),TIER_4:6,"minimum of one year and in accordance with the established records retention schedule"
SDSU PD,CA,365 (min),Policy 427.4,Lexipol,MIN_ONE_YEAR,GC 34090.6,2024-2026 editions,TIER (lead),TIER_1:2,"minimum of one year (Government Code SS 34090.6)"
Mono County SO,CA,365 (min),Policy 429.4,Lexipol,MIN_ONE_YEAR,GC 34090.6 (phrased 'in accordance with'),active,TIER (lead),TIER_5:2,"stored for a minimum of one year, in accordance with Government Code SS 34090.6"
Palos Verdes Estates PD,CA,730,ALPR Privacy Policy page,Self (web),TWO_YEAR_WITH_34090.6,GC 34090.6 (paired with TWO years in one sentence),Wayback 2026-04-12 (live page 403),CONFIRMED,closure:riverside-pve-scpd-lasd,"a period of two years ... (Government Code SS 34090.6); the miscitation texture case"
Santa Clara PD,CA,365 (min),Policy 428,Lexipol,MIN_ONE_YEAR,none,2026-01 edition,CONFIRMED,closure:riverside-pve-scpd-lasd,"minimum of one year with no statutory citation"
Riverside County SO,CA,contract-set,Policy 412.6(b),Lexipol,SERVICE_AGREEMENTS,none (b); 'AB 1463' cited for 30-day rule in (e) accuracy unvouched,2025-06-10 stamp,CONFIRMED,closure:riverside-pve-scpd-lasd,"not to exceed the lesser of the maximum period allowed by law, or the retention period established in applicable service agreements"
San Mateo County SO,CA,365 max + Flock 30 hardcoded,Policy 420 (Lexipol manual 2024-07-09),Lexipol (locally customized),MAX_ONE_YEAR + VENDOR_HARDCODE + JURISDICTION_DEFERENCE,none,2024-07-09,CONFIRMED,closure:smcso-woodside-primaries,"maximum of one (1) year unless ... the local government has requested a different retention period; Data from FLOCK cameras ... will be purged after 30 days"
Los Gatos-Monte Sereno PD,CA,30 (max),Policy 429.4,Lexipol (edited),MAX_30_VENDOR_POLICIES,none,active,TIER (lead),TIER_4:3,"retained for a maximum of 30 days in accordance with the established records retention schedule and third-party vendor policies"
Los Altos PD,CA,30,Policy 462.6,Lexipol (edited),PURGE_AT_30,none,active,TIER (lead),TIER_4:5,"purged by the City and any Contracted Entities ... at the end of 30 days"
