source_file,slug,agency,state,ret_2024,ret_2026,cameras,share_n,share_oos,share_fed,recv_n,recv_oos,recv_fed,prohibited_variant,policy_url,updated,fetch_date,status,_legacy_schema
browser-wave-ca-observations.csv,alameda-ca-pd,Alameda PD,CA,30,30,36,0,0,0,252,110,1,harrassment,https://www.alamedaca.gov/files/assets/public/departments/alameda/police/fixed-alpr-policy.pdf,,2026-08-24,OK,yes
browser-wave-ca-observations.csv,alameda-county-ca-so,Alameda County SO,CA,,365,,125,0,0,0,0,0,EXPANDED_repro_gender,,,2026-08-24,OK,yes
browser-wave-ca-observations.csv,albany-ca-pd,Albany PD,CA,,30,35,104,0,0,0,0,0,harassment,https://www.albanyca.gov/files/assets/city/v/1/police/documents/policies/apd-policy-424-alpr.pdf,,2026-08-24,OK,yes
browser-wave-ca-observations.csv,atherton-ca-pd,Atherton PD,CA,365,30,53,310,0,0,0,0,0,harrassment,https://www.athertonca.gov/DocumentCenter/View/12521/20260208_Atherton-PD-Policy-Manual,,2026-08-24,OK,yes
browser-wave-ca-observations.csv,auburn-ca-pd,Auburn PD,CA,,30,12,314,0,0,0,0,0,harassment,https://www.auburn.ca.gov/493/Policies-and-Procedures-Manual,,2026-08-24,OK,yes
browser-wave-ca-observations.csv,bakersfield-ca-pd,Bakersfield PD,CA,,30,462,362,0,0,0,0,0,harassment_lowercase,,,2026-08-24,OK,yes
browser-wave-ca-observations.csv,barstow-ca-pd,Barstow PD,CA,30,30,87,319,0,0,0,0,0,harrassment,,,2026-08-24,OK,yes
browser-wave-ca-observations.csv,beaumont-ca-pd,Beaumont PD,CA,,30,54,311,0,0,0,0,0,harassment,,,2026-08-24,OK,yes
browser-wave-ca-observations.csv,bell-ca-pd,Bell PD,CA,,30,11,356,0,0,0,0,0,harassment,,,2026-08-24,OK,yes
browser-wave-ca-observations.csv,bell-gardens-ca-pd,Bell Gardens PD,CA,,30,23,0,0,0,0,0,0,harassment,,,2026-08-24,OK,yes
browser-wave-ca-observations.csv,benicia-ca-pd,Benicia PD,CA,30,30,,75,0,0,0,0,0,harrassment,,,2026-08-24,OK,yes
browser-wave-ca-observations.csv,berkeley-ca-pd,Berkeley PD,CA,,30,52,47,0,0,0,0,0,harassment,https://berkeleyca.gov/sites/default/files/documents/Surveillance_Use_Policy-Fixed_Automated_License_Plate_Readers__ALPRs_%201.pdf,,2026-08-24,OK,yes
browser-wave-ca-observations.csv,beverly-hills-ca-pd,Beverly Hills PD,CA,,365,118,308,0,0,0,0,0,NONE,,,2026-08-24,OK,yes
browser-wave-ca-observations.csv,brawley-ca-pd,Brawley PD,CA,30,30,41,319,0,0,0,0,0,harrassment,http://www.brawley-ca.gov/cms/kcfinder/upload/files/police_department/Automated%20License%20Plate%20Readers%20Policy%20462%2010.25.2017.pdf,,2026-08-24,OK,yes
