slug,state,type,total_cameras,data_retention_days,organization_count,receiving_organization_count,public_search_audit,data_last_updated,source
-el-cajon-pd-ca,CA,PD,103,30,669,,False,2026-08-26T11:43:38.954Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
-spokane-county-wa-so,WA,SD,,21,,,False,2026-08-26T08:05:27.290Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
abington-ma-pd,MA,PD,6,30,109,150,True,2026-08-26T09:22:15.240Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
accomack-county-va-so,VA,SD,43,21,,,False,2026-08-26T19:01:20.407Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
ahoskie-nc-pd,NC,PD,16,30,,,False,2026-08-26T21:39:08.467Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
akron-oh-pd,OH,PD,146,30,,,False,2026-08-26T22:41:56.653Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
al-troy-university-insight-,AL,PD,14,30,206,519,True,2026-08-26T10:21:24.352Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
alameda-ca-pd,CA,PD,36,30,0,251,True,2026-08-26T17:37:54.596Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
alameda-county-ca-so,CA,SD,,365,125,,False,2026-08-26T17:41:56.277Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
albany-ca-pd,CA,PD,35,30,104,,True,2026-08-26T19:00:55.184Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
albany-or-pd,OR,PD,4,30,20,,True,2026-07-22T08:32:40.932Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
alexandria-city-va-so,VA,SD,2,21,0,,False,2026-08-26T12:53:13.745Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
alexandria-mn-pd,MN,PD,11,30,360,,False,2026-08-26T18:21:18.839Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
alexandria-va-pd,VA,PD,61,21,160,,False,2026-08-26T10:43:46.300Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
alhambra-ca-pd,CA,PD,53,365,314,,True,2026-08-26T11:52:59.135Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
allen-county-in-so,IN,SD,10,30,905,1220,False,2026-08-26T09:04:07.748Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
allen-county-ky-so,KY,SD,6,30,105,943,False,2026-08-26T16:24:29.257Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
allen-park-pd-mi,MI,PD,0,30,,,False,2026-08-26T15:50:15.867Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
altavista-va-pd,VA,PD,7,21,,,False,2026-08-26T13:53:57.322Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
altoona-ia-pd,IA,PD,51,30,,,False,2026-08-26T08:10:09.139Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
altoona-wi-pd,WI,PD,11,30,205,,False,2026-08-27T00:19:43.153Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
amberley-village-oh-pd,OH,PD,16,30,,,False,2026-08-26T13:49:19.256Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
amherst-county-va-so,VA,SD,4,21,,,False,2026-08-26T19:09:40.982Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
amherst-oh-pd,OH,PD,12,30,,,False,2026-08-26T13:38:24.492Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
amherst-town-ny-pd,NY,PD,17,,113,,False,2026-08-26T10:41:09.525Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
ankeny-ia-pd,IA,PD,16,30,,,True,2026-08-26T13:57:35.023Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
anoka-county-mn-so,MN,SD,13,30,698,,False,2026-08-26T19:41:21.072Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
anoka-mn-pd,MN,PD,7,30,73,,False,2026-08-26T15:18:36.185Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
antioch-ca-pd,CA,PD,18,30,240,253,True,2026-08-26T11:09:16.475Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
antioch-pd-ca,CA,PD,0,,0,,False,2026-08-27T00:22:47.915Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
apache-junction-az-pd,AZ,PD,,30,,,False,2026-08-26T14:54:34.134Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
app-state-university-nc-pd,NC,PD,3,30,5,,True,2026-08-26T22:54:23.055Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
appleton-wi-pd,WI,PD,20,30,0,611,False,2026-06-28T10:20:43.370Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
appomattox-county-va-so,VA,SD,4,21,161,208,True,2026-08-26T19:09:05.681Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
aransas-pass-tx-pd,TX,PD,10,30,364,,False,2026-08-26T20:50:51.188Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
arcanum-oh-pd,OH,PD,5,30,,,False,2026-08-27T00:12:56.734Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
arlington-county-va-pd,VA,SD,41,21,,,False,2026-08-26T12:06:58.839Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
arlington-pd-wa,WA,PD,22,21,,,False,2026-08-26T17:18:25.227Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
arlington-tx-pd,TX,PD,134,30,,,False,2026-08-26T20:47:13.573Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
arvada-co-pd,CO,PD,16,30,72,,True,2026-08-26T17:23:36.495Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
asheville-nc-pd,NC,PD,,,,,False,2026-08-26T23:06:55.145Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
ashland-county-oh-so,OH,SD,,,,,False,2026-08-26T19:18:24.799Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
ashland-oh-pd,OH,PD,15,30,1154,,True,2026-08-26T11:32:13.146Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
atherton-ca-pd,CA,PD,53,30,309,,False,2026-08-26T17:35:36.463Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
aubrey-tx-pd,TX,PD,58,30,1396,576,True,2026-08-26T11:38:28.534Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
auburn-ca-pd,CA,PD,12,30,316,,False,2026-08-26T13:55:30.123Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
auburn-ma-pd,MA,PD,4,30,35,199,True,2026-08-26T08:34:05.609Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
auburn-me-pd,ME,PD,,,,,False,2026-08-26T22:52:17.508Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
auburn-wa-pd,WA,PD,40,21,71,,True,2026-08-27T00:27:30.660Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
auglaize-county-oh-so,OH,SD,7,30,1061,,False,2026-08-26T14:29:14.740Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
augusta-county-va-so,VA,SD,2,21,,,False,2026-08-26T09:39:53.538Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
aurora-co-pd,CO,PD,117,365,,,False,2026-08-26T20:13:02.532Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
austin-tx-pd,TX,PD,,,,,False,2026-08-26T12:43:18.450Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
avon-in-pd,IN,PD,6,30,,,False,2026-08-26T22:04:06.480Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
avon-lake-oh-pd,OH,PD,15,30,425,,True,2026-07-22T18:30:13.406Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bainbridge-township-oh-pd,OH,PD,2,30,,,False,2026-08-26T13:03:47.179Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bakersfield-ca-pd,CA,PD,462,30,360,,True,2026-08-26T14:41:47.061Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
baldwin-park-ca-pd,CA,PD,30,30,317,246,False,2026-08-27T00:07:47.188Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
baraboo-wi-pd,WI,PD,6,30,54,,True,2026-08-26T22:14:26.196Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
barling-ar-pd,AR,PD,8,30,32,,True,2026-08-26T11:19:11.315Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
barrow-county-ga-so,GA,SD,338,30,1898,,True,2026-08-26T21:23:40.509Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
barstow-ca-pd,CA,PD,87,30,318,,False,2026-08-26T10:36:03.148Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bartlesville-ok-pd-,OK,PD,9,30,385,,True,2026-08-26T19:40:49.943Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bayfield-county-wi-so,WI,SD,8,30,235,,True,2026-08-26T21:03:46.991Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
baytown-tx-pd,TX,PD,72,30,3130,872,False,2026-08-26T10:04:20.564Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
beaumont-ca-pd,CA,PD,54,30,310,,False,2026-08-26T10:38:34.726Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
becker-county-mn-so,MN,SD,5,30,,,False,2026-08-26T15:41:25.419Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bedford-tx-pd,TX,PD,28,30,347,293,False,2026-08-26T13:54:59.531Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bedford-va-pd,VA,PD,14,21,150,2111,False,2026-08-26T11:41:29.838Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bee-cave-tx-pd,TX,PD,2,30,,,True,2026-08-26T22:12:22.956Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
beecher-il-pd,IL,PD,10,30,526,,False,2026-08-26T18:37:32.655Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bel-aire-ks-pd,KS,PD,0,30,0,,True,2026-08-26T10:02:14.972Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bell-ca-pd,CA,PD,11,30,354,,True,2026-08-26T18:59:19.217Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bell-gardens-ca-pd,CA,PD,23,30,,,False,2026-08-27T00:05:15.669Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
belle-isle-fl-pd,FL,PD,17,30,214,,True,2026-08-26T09:42:59.752Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bellefontaine-oh-pd,OH,PD,16,30,403,,False,2026-08-27T00:28:30.980Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bellevue-id-pd-,ID,PD,2,30,20,11,True,2026-08-26T23:34:24.454Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
belmont-ca-pd,CA,PD,10,30,17,,True,2026-08-26T15:23:51.030Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
belmont-nc-pd,NC,PD,,30,,,False,2026-08-26T14:39:35.452Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
belvedere-ca-pd,CA,PD,6,30,7,,False,2026-08-26T15:43:01.380Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
benicia-ca-pd,CA,PD,50,30,75,,True,2026-08-26T22:17:30.939Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
berkeley-ca-pd,CA,PD,52,30,47,,False,2026-08-26T12:00:44.850Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
berlin-ct-pd,CT,PD,12,30,,,True,2026-08-26T21:54:11.820Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
berwyn-il-pd,IL,PD,35,90,34,584,True,2026-08-26T22:54:57.384Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bessemer-city-nc-pd,NC,PD,9,30,1835,,True,2026-08-26T12:28:51.030Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bettendorf-ia-pd,IA,PD,61,30,,,True,2026-08-26T16:48:21.118Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
beverly-hills-ca-pd,CA,PD,118,365,308,,False,2026-08-26T10:07:57.719Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
beverly-ma-pd,MA,PD,4,30,101,,True,2026-08-26T08:34:34.847Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bexar-county-tx-so,TX,SD,35,30,,,False,2026-08-26T16:27:36.436Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
