slug,agency
alameda-ca-pd,Alameda PD
alameda-county-ca-so,Alameda County SO
albany-ca-pd,Albany PD
atherton-ca-pd,Atherton PD
auburn-ca-pd,Auburn PD
bakersfield-ca-pd,Bakersfield PD
barstow-ca-pd,Barstow PD
beaumont-ca-pd,Beaumont PD
bell-ca-pd,Bell PD
bell-gardens-ca-pd,Bell Gardens PD
benicia-ca-pd,Benicia PD
berkeley-ca-pd,Berkeley PD
beverly-hills-ca-pd,Beverly Hills PD
brawley-ca-pd,Brawley PD
brisbane-ca-pd,Brisbane PD
buena-park-ca-pd,Buena Park PD
burbank-ca-pd,Burbank PD
butte-county-ca-so,Butte County SO
ca-napa-valley-college-campus,Napa Valley College
cal-maritime-ca,Cal Maritime
calistoga-ca-pd,Calistoga PD
campbell-ca-pd,Campbell PD
capitola-ca-pd,Capitola PD
carmel-ca-pd,Carmel PD
cathedral-city-ca-pd,Cathedral City PD
chula-vista-ca-pd,Chula Vista PD
citrus-heights-ca-pd,Citrus Heights PD
city-of-lemoore-ca,Lemoore PD
city-of-riverside-ca-pd-,Riverside PD
clearlake-ca-pd,Clearlake PD
colma-ca-pd,Colma PD
colton-ca-pd-,Colton PD
contra-costa-county-ca-so,Contra Costa County SO
coronado-ca-pd,Coronado PD
costa-mesa-ca-pd,Costa Mesa PD
culver-city-ca-pd,Culver City PD
danville-ca-pd,Danville PD
delano-ca-pd,Delano PD
dinuba-ca-pd,Dinuba PD
dixon-ca-pd,Dixon PD
east-palo-alto-ca-pd,East Palo Alto PD
el-cerrito-ca-pd,El Cerrito PD
el-segundo-ca-pd,El Segundo PD
emeryville-ca-pd,Emeryville PD
escondido-ca-pd,Escondido PD
fairfield-ca-pd,Fairfield PD
folsom-ca-pd,Folsom PD
fontana-ca-pd,Fontana PD
foothilldeanza-ca-pd,Foothill-De Anza PD
fort-bragg-ca-pd,Fort Bragg PD
foster-city-ca-pd,Foster City PD
fountain-valley-ca-pd,Fountain Valley PD
galt-ca-pd,Galt PD
gilroy-ca-pd,Gilroy PD
grass-valley-ca-pd,Grass Valley PD
grover-beach-ca-pd,Grover Beach PD
hanford-ca-pd,Hanford PD
hayward-ca-pd,Hayward PD
healdsburg-ca-pd,Healdsburg PD
hemet-ca-pd-,Hemet PD
hercules-ca-pd,Hercules PD
hillsborough-ca-pd,Hillsborough PD
humboldt-county-ca-so,Humboldt County SO
kern-county-ca-so-,Kern County SO
kings-county-das-office,Kings County DA
kings-county-sheriffs-office-ca-,Kings County SO
lake-county-ca-so,Lake County SO
lakeshore-homes-association-ca-,Lakeshore Homes Assn
lassen-county-so-ca,Lassen County SO
lathrop-ca-pd-,Lathrop PD
lincoln-ca-pd,Lincoln PD
livingston-ca-pd,Livingston PD
lodi-ca-pd,Lodi PD
lompoc-ca-pd,Lompoc PD
los-altos-ca-pd,Los Altos PD
los-gatos-ca-pd,Los Gatos PD
madera-ca-pd,Madera PD
mammoth-lakes-ca-pd,Mammoth Lakes PD
manteca-ca-pd,Manteca PD
marin-county-ca-so,Marin County SO
marina-ca-pd,Marina PD
mendocino-county-soca,Mendocino County SO
menifee-ca-pd,Menifee PD
menlo-park-ca-pd,Menlo Park PD
merced-county-ca-so,Merced County SO
modoc-county-ca-so,Modoc County SO
monrovia-ca-pd,Monrovia PD
montclair-ca-pd,Montclair PD
monte-sereno-ca-pd,Monte Sereno PD
monterey-ca-pd,Monterey PD
monterey-park-ca-pd,Monterey Park PD
morgan-hill-ca-pd,Morgan Hill PD
mountain-view-ca-pd,Mountain View PD
napa-ca-pd,Napa PD
napa-county-ca-so,Napa County SO
national-city-ca-pd,National City PD
nevada-county-ca-so,Nevada County SO
newport-beach-pd-ca,Newport Beach PD
novato-ca-pd,Novato PD
oakley-ca-pd,Oakley PD
ontario-ca-pd,Ontario PD
oroville-ca-pd,Oroville PD
oxnard-ca-pd-,Oxnard PD
pacific-grove-ca-pd,Pacific Grove PD
pacifica-ca-pd,Pacifica PD
palm-springs-ca-pd,Palm Springs PD
palo-alto-ca-pd,Palo Alto PD
pasadena-ca-pd,Pasadena PD
petaluma-ca-pd,Petaluma PD
piedmont-ca-pd,Piedmont PD
placer-county-ca-so,Placer County SO
pleasanton-ca-pd,Pleasanton PD
port-hueneme-ca-pd,Port Hueneme PD
port-of-stockton-ca-pd,Port of Stockton PD
porterville-ca-pd,Porterville PD
redlands-ca-pd,Redlands PD
redwood-city-ca-pd,Redwood City PD
reedley-ca-pd,Reedley PD
richmond-ca-pd,Richmond PD
ridgecrest-ca-pd,Ridgecrest PD
rio-vista-ca-pd,Rio Vista PD
riverside-county-ca-district-attorney,Riverside County DA
riverside-county-ca-sd,Riverside County SO
rohnert-park-department-of-public-safety-ca,Rohnert Park DPS
sacramento-ca-pd,Sacramento PD
salinas-ca-pd,Salinas PD
san-bernardino-ca-pd,San Bernardino PD
san-diego-ca-pd,San Diego PD
san-francisco-ca-pd,San Francisco PD
san-gabriel-ca-pd,San Gabriel PD
san-joaquin-county-ca-so,San Joaquin County SO
san-jose-ca-pd,San Jose PD
san-juan-bautista-ca-,San Juan Bautista
san-leandro-pd-ca,San Leandro PD
san-marino-ca-pd,San Marino PD
san-mateo-ca-pd,San Mateo PD
san-mateo-county-ca-so,San Mateo County SO
san-rafael-ca-pd,San Rafael PD
santa-barbara-pd-ca,Santa Barbara PD
santa-clara-ca-pd,Santa Clara PD
santa-clara-county-ca-so,Santa Clara County SO
santa-cruz-ca-pd,Santa Cruz PD
santa-paula-ca-pd,Santa Paula PD
santa-rosa-ca-pd,Santa Rosa PD
saratoga-ca-pd,Saratoga PD
sausalito-ca-pd,Sausalito PD
seaside-ca-pd,Seaside PD
sequoias-community-college-district-ca-pd,Sequoias CCD PD
simi-valley-ca-pd,Simi Valley PD
solano-county-ca-so,Solano County SO
south-gate-ca-pd,South Gate PD
south-pasadena-ca-pd,South Pasadena PD
south-san-francisco-ca-pd,South San Francisco PD
st-helena-ca-pd,St. Helena PD
stanford-university-ca-pd,Stanford University PD
stockton-ca-pd,Stockton PD
suisun-city-ca-pd-,Suisun City PD
sunnyvale-ca-pd,Sunnyvale PD
tiburon-ca-pd,Tiburon PD
town-of-woodside-ca-smcso,Woodside (SMCSO)
tracy-ca-pd,Tracy PD
truckee-ca-pd,Truckee PD
tulare-ca-pd-,Tulare PD
ukiah-pd-ca,Ukiah PD
union-city-ca-pd,Union City PD
upland-ca-pd-,Upland PD
vacaville-ca-pd,Vacaville PD
vallejo-ca-pd,Vallejo PD
ventura-ca-pd,Ventura PD
ventura-county-ca-so,Ventura County SO
visalia-ca-pd,Visalia PD
watsonville-ca-pd,Watsonville PD
west-covina-ca-pd,West Covina PD
west-sacramento-ca-pd,West Sacramento PD
westminster-ca-pd,Westminster PD
williams-ca-pd,Williams PD
winters-ca-pd-,Winters PD
woodland-ca-pd,Woodland PD
yolo-county-ca-so,Yolo County SO
yuba-city-ca-pd,Yuba City PD
yuba-county-ca-so,Yuba County SO
