slug,agency,ret_2024
-el-cajon-pd-ca,El Cajon CA PD,30
-spokane-county-wa-so,Spokane County WA SO,30
akron-oh-pd,Akron OH PD,30
alameda-ca-pd,Alameda CA PD,30
alexandria-va-pd,Alexandria VA PD,30
allen-park-pd-mi,Allen Park PD MI,30
altoona-ia-pd,Altoona IA PD,30
altoona-wi-pd,Altoona WI PD,30
amberley-village-oh-pd,Amberley Village OH PD,30
amherst-oh-pd,Amherst OH PD,30
anoka-county-mn-so,Anoka County MN SO,30
apache-junction-az-pd,Apache Junction AZ PD,30
app-state-university-nc-pd,App State University NC PD,30
aransas-pass-tx-pd,Aransas Pass TX PD,30
arcanum-oh-pd,Arcanum OH PD,30
arlington-pd-wa,Arlington PD (WA),30
arlington-tx-pd,Arlington TX PD,30
atherton-ca-pd,Atherton CA PD,365
aubrey-tx-pd,Aubrey TX PD,30
avon-in-pd,Avon IN PD,30
bainbridge-township-oh-pd,Bainbridge Township OH PD,30
barling-ar-pd,Barling AR PD,30
barstow-ca-pd,Barstow CA PD,30
baytown-tx-pd,Baytown TX PD,30
beecher-il-pd,Beecher IL PD,30
bel-aire-ks-pd,Bel Aire KS PD,-Infinity
belle-isle-fl-pd,Belle Isle FL PD,30
bellefontaine-oh-pd,Bellefontaine OH PD,30
belmont-nc-pd,Belmont NC PD,30
benicia-ca-pd,Benicia CA PD,30
bessemer-city-nc-pd,Bessemer City NC PD,30
blairsville-ga-pd,Blairsville GA PD,30
bluffton-in-pd,Bluffton IN PD,30
bratenahl-oh-pd,Bratenahl OH PD,30
brawley-ca-pd,Brawley CA PD,30
bridgewater-va-pd,Bridgewater VA PD,30
buckeye-az-pd,Buckeye AZ PD,30
buda-tx-pd,Buda TX PD,30
buena-park-ca-pd,Buena Park CA PD,30
butler-county-ks-so,Butler County KS SO,30
cabot-ar-pd,Cabot AR PD,30
calistoga-ca-pd,Calistoga CA PD,30
campbell-ca-pd,Campbell CA PD,30
carmel-ca-pd,Carmel CA PD,30
castle-rock-co-pd,Castle Rock CO PD,30
catawba-nation-tribal-sc-pd-,Catawba Nation Tribal SC PD,30
cathedral-city-ca-pd,Cathedral City CA PD,30
cayuga-heights-village-ny-pd,Cayuga Heights Village NY PD,30
cedar-lake-in-pd,Cedar Lake IN PD,30
centralia-pd-wa,Centralia PD (WA),30
chadbourn-nc-pd,Chadbourn NC PD,30
champaign-il-pd,Champaign IL PD,30
chase-city-va-pd,Chase City VA PD,30
cheshire-ct-pd,Cheshire CT PD,30
chester-county-sc-so,Chester County SC SO,30
chesterfield-mo-pd,Chesterfield MO PD,30
city-of-riverside-ca-pd-,City of Riverside CA PD,30
claflin-university-sc-pd,Claflin University SC PD,30
clearlake-ca-pd,Clearlake CA PD,30
cleveland-county-so-,Cleveland County NC SO,30
clinton-ia-pd,Clinton IA PD,30
clive-ia-pd,Clive IA PD,30
co-lafayette-pd,Lafayette CO PD,30
colma-ca-pd,Colma CA PD,30
columbus-nc-pd,Columbus NC PD,30
contra-costa-county-ca-so,Contra Costa County CA SO,365
coronado-ca-pd,Coronado CA PD,365
costa-mesa-ca-pd,Costa Mesa CA PD,365
council-bluffs-ia-pd,Council Bluffs IA PD,30
cranston-ri-pd,Cranston RI PD,30
craven-county-abc-board-nc,Craven County ABC Board (NC),30
creedmoor-nc-pd,Creedmoor NC PD,30
culpeper-va-pd-,Culpeper VA PD,30
culver-city-ca-pd,Culver City CA PD,30
danville-ca-pd,Danville CA PD,365
davie-county-nc-so,Davie County NC SO,30
dayton-oh-pd,Dayton OH PD,30
del-city-ok-pd,Del City OK PD,30
derby-ks-pd,Derby KS PD,30
dixon-ca-pd,Dixon CA PD,30
dublin-oh-pd,Dublin OH PD,30
dublin-va-pd,Dublin VA PD,30
east-providence-ri-pd,East Providence RI PD,30
eatonville-wa-pd,Eatonville WA PD,15
edgewater-co-pd,Edgewater CO PD,30
edina-mn-pd,Edina MN PD,30
edison-nj-pd,Edison NJ PD,NA
edmond-ok-pd,Edmond OK PD,30
el-cerrito-ca-pd,El Cerrito CA PD,30
elgin-sc-pd,Elgin SC PD,30
elizabethtown-nc-pd,Elizabethtown NC PD,30
elmira-city-ny-pd,Elmira City NY PD,30
euclid-oh-pd,Euclid OH PD,30
evanston-il-pd,Evanston IL PD,30
evendale-oh-pd,Evendale OH PD,30
fairfax-city-va-pd,Fairfax City VA PD,30
fairfield-ca-pd,Fairfield CA PD,30
fairfield-oh-pd,Fairfield OH PD,30
ferndale-mi-pd,Ferndale MI PD,NA
flock-safety-admins,Flock - Admin,30
flock-safety-le-training,Flock Safety LE Training,30
flock-safety-marketing,Flock Safety - Marketing,-Infinity
flock-safety-sales,Flock Safety - Sales,30
florida-le-flock-training,Florida LE Flock Training,-Infinity
folly-beach-sc-pd,Folly Beach SC PD,30
forest-heights-md-pd,Forest Heights MD PD,30
forest-park-oh-pd,Forest Park OH PD,30
fort-smith-ar-pd,Fort Smith AR PD,30
foster-city-ca-pd,Foster City CA PD,30
franklin-ma-pd,Franklin MA PD,30
franklinton-nc-pd,Franklinton NC PD,30
galt-ca-pd,Galt CA PD,30
genoa-township-oh-pd-,Genoa Township OH PD,30
gilroy-ca-pd,Gilroy CA PD,30
granby-co-pd,Granby CO PD,30
grand-island-ne-pd,Grand Island NE PD,30
grand-traverse-county-mi-so,Grand Traverse County MI SO,30
grandview-heights-oh-pd,Grandview Heights OH PD,30
grass-valley-ca-pd,Grass Valley CA PD,30
great-parks-of-hamilton-county-oh-pd,Great Parks of Hamilton County OH PD,30
green-bay-wi-pd,Green Bay WI PD,30
greenfield-in-pd,Greenfield IN PD,30
greensboro-nc-pd,Greensboro NC PD,30
grover-beach-ca-pd,Grover Beach CA PD,30
gurnee-il-pd,Gurnee IL PD,30
hall-county-ne-so,Hall County NE SO,30
hamilton-county-oh-so,Hamilton County OH SO,30
hamilton-township-oh-pd,Hamilton Township OH PD,30
hamlet-pd-,Hamlet NC PD,30
hampton-va-pd,Hampton VA PD,30
hanover-park-il-pd-,Hanover Park IL PD,30
heath-oh-pd,Heath OH PD,30
hemet-ca-pd-,Hemet CA PD,30
henderson-county-nc-so-,Henderson County NC SO,30
hendricks-county-in-so,Hendricks County IN SO,30
hercules-ca-pd,Hercules CA PD,30
hesston-ks-pd,Hesston KS PD,30
highland-park-mi-pd,Highland Park MI PD,30
